Event Time, Symbol, Aggregate Trade ID, Price, Quantity, First Trade ID, Trade Time, Is Buyer Maker
1739158340843, ETHUSDT,2033884209,2627.13,6.312,1739158340839,True
1739158340843, ETHUSDT,2033884222,2626.97,7.119,1739158340839,True
1739158340894, ETHUSDT,2033884224,2626.97,6.06,1739158340872,False
1739158341202, ETHUSDT,2033884240,2626.77,7.127,1739158341166,True
1739158341246, ETHUSDT,2033884243,2626.73,6.313,1739158341233,True
1739158341247, ETHUSDT,2033884253,2626.62,6.346,1739158341243,True
1739158341247, ETHUSDT,2033884256,2626.59,7.215,1739158341243,True
1739158341353, ETHUSDT,2033884262,2626.55,7.168,1739158341293,True
1739158341473, ETHUSDT,2033884269,2626.55,22.275,1739158341467,True
1739158341480, ETHUSDT,2033884272,2626.49,6.156,1739158341468,True
1739158341571, ETHUSDT,2033884288,2626.88,11.438,1739158341568,False
1739158341571, ETHUSDT,2033884289,2626.89,7.242,1739158341568,False
1739158341886, ETHUSDT,2033884329,2627.68,7.564,1739158341872,True
1739158342170, ETHUSDT,2033884338,2627.74,7.828,1739158342129,True
1739158343064, ETHUSDT,2033884393,2626.37,6.462,1739158342984,True
1739158343064, ETHUSDT,2033884397,2626.33,7.122,1739158343061,True
1739158343170, ETHUSDT,2033884406,2626.2,6.938,1739158343061,True
1739158343456, ETHUSDT,2033884411,2626.18,16.884,1739158343443,True
1739158343625, ETHUSDT,2033884420,2626.02,14.287,1739158343616,True
1739158343721, ETHUSDT,2033884433,2625.82,8.325,1739158343717,True
1739158343895, ETHUSDT,2033884436,2625.79,5.743,1739158343885,True
1739158344030, ETHUSDT,2033884457,2625.56,6.36,1739158344024,True
1739158344142, ETHUSDT,2033884465,2625.44,6.308,1739158344137,True
1739158344153, ETHUSDT,2033884470,2625.37,7.111,1739158344138,True
1739158344205, ETHUSDT,2033884479,2625.27,7.218,1739158344152,True
1739158344205, ETHUSDT,2033884481,2625.24,7.111,1739158344201,True
1739158344214, ETHUSDT,2033884485,2625.19,6.317,1739158344201,True
1739158344557, ETHUSDT,2033884510,2624.98,7.119,1739158344542,True
1739158344778, ETHUSDT,2033884525,2624.81,80.647,1739158344772,False
1739158344778, ETHUSDT,2033884526,2624.89,9.603,1739158344773,False
1739158344783, ETHUSDT,2033884533,2625.07,9.603,1739158344776,False
1739158345088, ETHUSDT,2033884561,2625.6,26.501,1739158345084,True
1739158345088, ETHUSDT,2033884573,2625.41,7.194,1739158345084,True
1739158345090, ETHUSDT,2033884579,2625.33,16.046,1739158345085,True
1739158345090, ETHUSDT,2033884583,2625.28,6.655,1739158345085,True
1739158345865, ETHUSDT,2033884615,2624.79,10.865,1739158345858,False
1739158346322, ETHUSDT,2033884629,2624.78,12.312,1739158346302,True
1739158346394, ETHUSDT,2033884630,2624.72,6.376,1739158346319,True
1739158346550, ETHUSDT,2033884644,2624.57,14.724,1739158346519,True
1739158346558, ETHUSDT,2033884646,2624.55,7.666,1739158346546,True
1739158346656, ETHUSDT,2033884658,2624.38,7.13,1739158346652,True
1739158346656, ETHUSDT,2033884684,2624.06,6.159,1739158346652,True
1739158346656, ETHUSDT,2033884685,2624.05,5.966,1739158346652,True
1739158346656, ETHUSDT,2033884688,2624.02,7.044,1739158346652,True
1739158346656, ETHUSDT,2033884690,2624.0,7.299,1739158346652,True
1739158346656, ETHUSDT,2033884693,2623.93,9.656,1739158346652,True
1739158346670, ETHUSDT,2033884695,2623.91,9.317,1739158346652,True
1739158346852, ETHUSDT,2033884699,2624.17,16.069,1739158346813,False
1739158346861, ETHUSDT,2033884709,2624.43,7.212,1739158346848,False
1739158347495, ETHUSDT,2033884739,2623.95,5.91,1739158347473,False
1739158347495, ETHUSDT,2033884765,2624.41,7.634,1739158347492,False
1739158347495, ETHUSDT,2033884773,2624.51,6.37,1739158347492,False
