symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
BNX,SELL,LIMIT,IOC,300.0,0.535429,0.540400,FILLED,229.9,300.0,1739158623077,160.6287
TST,BUY,LIMIT,IOC,127,0.1920147,0.1910000,FILLED,34,127,1739158623237,24.3858669
TST,BUY,LIMIT,IOC,2717,0.1921070,0.1910000,FILLED,2717,2717,1739158624280,521.954719
TST,BUY,LIMIT,IOC,1038,0.1926022,0.1914000,FILLED,1038,1038,1739158625300,199.9210836
SWARMS,BUY,LIMIT,IOC,2900,0.0530256,0.0527000,FILLED,2900,2900,1739158625319,153.77424
TST,BUY,LIMIT,IOC,799,0.1930612,0.1920000,FILLED,799,799,1739158626304,154.25589879999998
XRP,BUY,LIMIT,IOC,1719.4,2.4226,2.4113,FILLED,268.1,1719.4,1739158626310,4165.41844
BERA,BUY,LIMIT,IOC,322.2,5.032113,4.988000,FILLED,26.6,322.2,1739158626357,1621.3468085999998
SUI,BUY,LIMIT,IOC,97.4,3.153971,3.126300,FILLED,97.4,97.4,1739158627059,307.1967754
1000BONK,SELL,LIMIT,IOC,33415,0.0172716,0.0174420,FILLED,5977,33415,1739158627140,577.1305140000001
KAS,SELL,LIMIT,IOC,6000,0.0863416,0.0871809,FILLED,1002,6000,1739158627140,518.0496
TST,BUY,LIMIT,IOC,124,0.1935941,0.1917000,FILLED,124,124,1739158627334,24.005668399999998
XRP,BUY,LIMIT,IOC,141.7,2.4228,2.4132,FILLED,141.7,141.7,1739158627419,343.31075999999996
MASK,BUY,LIMIT,IOC,2243,2.2949,2.2753,FILLED,58,2243,1739158627566,5147.4607000000005
SUI,BUY,LIMIT,IOC,4122.4,3.155158,3.129412,FILLED,271.9,4122.4,1739158628330,13006.8233392
XRPUSDC,BUY,LIMIT,IOC,220.9,2.4233,2.4128,FILLED,115.3,220.9,1739158628437,535.30697
XRP,BUY,LIMIT,IOC,456.8,2.4244,2.4139,FILLED,25.0,456.8,1739158628609,1107.4659199999999
AIXBT,BUY,LIMIT,IOC,628,0.2459675,0.2440704,FILLED,217,628,1739158629080,154.46759
XRP,BUY,LIMIT,IOC,452.4,2.4255,2.4142,FILLED,452.4,452.4,1739158630053,1097.2962
ADA,BUY,LIMIT,IOC,81,0.69918,0.69600,FILLED,81,81,1739158630126,56.63358
EOS,BUY,LIMIT,IOC,4489.7,0.615,0.613,FILLED,1290.3,4489.7,1739158630408,2761.1655
SUI,BUY,LIMIT,IOC,149.1,3.159383,3.133385,FILLED,21.2,149.1,1739158630438,471.06400529999996
WIF,BUY,LIMIT,IOC,19.7,0.6702812,0.6641000,FILLED,19.7,19.7,1739158631130,13.20453964
TST,BUY,LIMIT,IOC,2837,0.1937319,0.1918000,FILLED,2837,2837,1739158631134,549.6174003
XRP,BUY,LIMIT,IOC,327.3,2.4262,2.4137,FILLED,134.7,327.3,1739158631316,794.09526
VINE,BUY,LIMIT,IOC,60,0.1035664,0.1016200,FILLED,60,60,1739158631396,6.213984
BTC,BUY,LIMIT,IOC,0.045,97420.03,97033.30,FILLED,0.045,0.045,1739158631573,4383.90135
RENDER,BUY,LIMIT,IOC,4.8,4.3648041,4.3240000,FILLED,0.2,4.8,1739158631641,20.951059679999997
EOS,BUY,LIMIT,IOC,9.1,0.616,0.613,FILLED,9.1,9.1,1739158632082,5.6056
FARTCOIN,BUY,LIMIT,IOC,21.6,0.5535934,0.5512000,FILLED,21.6,21.6,1739158632253,11.957617440000002
SPELL,BUY,LIMIT,IOC,419341,0.0010207,0.0010064,FILLED,349341,419341,1739158632494,428.0213587
ADA,BUY,LIMIT,IOC,133,0.69955,0.69620,FILLED,133,133,1739158632614,93.04015
FARTCOIN,BUY,LIMIT,IOC,20.1,0.5540079,0.5494000,FILLED,20.1,20.1,1739158638221,11.135558790000001
TST,SELL,LIMIT,IOC,68,0.1891757,0.1904000,FILLED,68,68,1739158640568,12.8639476
TST,SELL,LIMIT,IOC,10874,0.1888488,0.1897000,FILLED,2247,10874,1739158643609,2053.5418512
TST,SELL,LIMIT,IOC,24792,0.1879350,0.1893205,FILLED,11315,24792,1739158645422,4659.28452
1000CHEEMS,BUY,LIMIT,IOC,1447020,0.0007270,0.0007230,FILLED,345340,1447020,1739158651391,1051.98354
1000CHEEMS,BUY,LIMIT,IOC,240269,0.0007294,0.0007219,FILLED,113000,240269,1739158652496,175.2522086
TST,SELL,LIMIT,IOC,38,0.1872138,0.1890000,FILLED,38,38,1739158659617,7.114124400000001
TST,SELL,LIMIT,IOC,3169,0.1826268,0.1843000,FILLED,1413,3169,1739159088256,578.7443292
TST,SELL,LIMIT,IOC,690,0.1822097,0.1841000,FILLED,101,690,1739159097275,125.724693
PENGU,SELL,LIMIT,IOC,4134,0.0100832,0.0101890,FILLED,1965,4134,1739159522592,41.6839488
CAKE,BUY,LIMIT,IOC,1113,1.6881484,1.6718835,FILLED,220,1113,1739159630394,1878.9091692
TST,BUY,LIMIT,IOC,66,0.1954411,0.1933000,FILLED,66,66,1739159632390,12.8991126
TST,BUY,LIMIT,IOC,382,0.1954469,0.1933000,FILLED,382,382,1739159633618,74.6607158
BERA,SELL,LIMIT,IOC,17.3,4.936701,4.984000,FILLED,17.3,17.3,1739159635133,85.40492730000001
PENGU,SELL,LIMIT,IOC,9717,0.0100746,0.0101730,FILLED,9717,9717,1739159658385,97.8948882
PNUT,SELL,LIMIT,IOC,11979,0.1660617,0.1676902,FILLED,4956,11979,1739159670351,1989.2531043000001
TST,SELL,LIMIT,IOC,701,0.1901077,0.1920000,FILLED,117,701,1739159698272,133.2654977
PENGU,SELL,LIMIT,IOC,87463,0.0100621,0.0101563,FILLED,3269,87463,1739159708435,880.0614522999999
1000PEPE,SELL,LIMIT,IOC,1043,0.0094455,0.0095032,FILLED,1043,1043,1739159710105,9.8516565
PROM,SELL,LIMIT,IOC,17.5,5.6697414,5.7212514,FILLED,1.6,17.5,1739159712516,99.22047450000001
TRUMP,SELL,LIMIT,IOC,64.61,15.089711,15.231000,FILLED,3.84,64.61,1739159715229,974.9462277099999
ZRO,SELL,LIMIT,IOC,170.3,2.7301810,2.7563985,FILLED,1.0,170.3,1739159716602,464.94982430000005
TRUMP,SELL,LIMIT,IOC,25.81,15.087263,15.223000,FILLED,19.23,25.81,1739159717562,389.40225803
SUI,SELL,LIMIT,IOC,124.1,3.047299,3.077556,FILLED,54.0,124.1,1739159718125,378.16980590000003
VTHO,SELL,LIMIT,IOC,3634,0.0039544,0.0039900,FILLED,1128,3634,1739159718581,14.370289600000001
WIF,SELL,LIMIT,IOC,1515.9,0.6477149,0.6538000,FILLED,1155.0,1515.9,1739159719503,981.87101691
TRUMP,SELL,LIMIT,IOC,4.67,15.067328,15.214156,FILLED,3.94,4.67,1739159721370,70.36442176
CRV,SELL,LIMIT,IOC,13.9,0.519,0.521,FILLED,13.9,13.9,1739159725148,7.2141
1000PEPE,SELL,LIMIT,IOC,214,0.0094266,0.0094746,FILLED,214,214,1739159727090,2.0172924
1000SHIB,SELL,LIMIT,IOC,9500,0.015622,0.015698,FILLED,7145,9500,1739159728377,148.409
VINE,SELL,LIMIT,IOC,799,0.0970469,0.0989478,FILLED,85,799,1739159729403,77.5404731
USTC,SELL,LIMIT,IOC,1004,0.0129901,0.0131680,FILLED,1004,1004,1739159729514,13.042060399999999
XRP,SELL,LIMIT,IOC,4.1,2.3684,2.3778,FILLED,4.1,4.1,1739159729521,9.710439999999998
PROM,SELL,LIMIT,IOC,6.5,5.6647535,5.7146000,FILLED,0.4,6.5,1739159729705,36.82089775
DOGE,SELL,LIMIT,IOC,3000,0.246718,0.247103,FILLED,2013,3000,1739159729716,740.154
TRUMP,SELL,LIMIT,IOC,87.27,15.050708,15.173707,FILLED,6.32,87.27,1739159729828,1313.4752871599999
WIF,SELL,LIMIT,IOC,12.3,0.6463814,0.6517000,FILLED,12.3,12.3,1739159730688,7.95049122
VELODROME,SELL,LIMIT,IOC,6000,0.0708122,0.0713835,FILLED,1289,6000,1739159730731,424.87320000000005
DOGE,SELL,LIMIT,IOC,5889,0.246681,0.246681,FILLED,5889,5889,1739159730844,1452.7044090000002
ETH,SELL,LIMIT,IOC,0.030,2613.21,2621.66,FILLED,0.030,0.030,1739159730956,78.3963
