symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
WIF,SELL,LIMIT,IOC,12.3,0.6463814,0.6517000,FILLED,12.3,12.3,1739159730688,7.95049122
VELODROME,SELL,LIMIT,IOC,6000,0.0708122,0.0713835,FILLED,1289,6000,1739159730731,424.87320000000005
DOGE,SELL,LIMIT,IOC,5889,0.246681,0.246681,FILLED,5889,5889,1739159730844,1452.7044090000002
ETH,SELL,LIMIT,IOC,0.030,2613.21,2621.66,FILLED,0.030,0.030,1739159730956,78.3963
TRUMP,SELL,LIMIT,IOC,3.62,15.057317,15.169000,FILLED,3.62,3.62,1739159730976,54.50748754
SSV,SELL,LIMIT,IOC,10.01,11.443200,11.532826,FILLED,1.27,10.01,1739159731155,114.546432
BTC,SELL,LIMIT,IOC,0.025,96264.71,96610.00,FILLED,0.025,0.025,1739159731159,2406.6177500000003
RENDER,SELL,LIMIT,IOC,67.2,4.2128357,4.2500000,FILLED,59.1,67.2,1739159731536,283.10255904
XRP,SELL,LIMIT,IOC,360.3,2.3659,2.3760,FILLED,360.3,360.3,1739159731711,852.43377
ADA,SELL,LIMIT,IOC,1933,0.68168,0.68460,FILLED,223,1933,1739159731711,1317.68744
DOGE,SELL,LIMIT,IOC,1271,0.246138,0.246510,FILLED,1271,1271,1739159731858,312.84139799999997
FIL,SELL,LIMIT,IOC,915.4,3.281,3.294,FILLED,777.9,915.4,1739159731870,3003.4274
RDNT,SELL,LIMIT,IOC,2226,0.0303775,0.0306600,FILLED,644,2226,1739159731921,67.620315
SOL,SELL,LIMIT,IOC,1,201.0320,202.0700,FILLED,1,1,1739159732307,201.032
BCH,SELL,LIMIT,IOC,0.500,322.06,323.66,FILLED,0.500,0.500,1739159732307,161.03
ETC,SELL,LIMIT,IOC,5.00,20.071,20.165,FILLED,5.00,5.00,1739159732307,100.355
1000PEPE,SELL,LIMIT,IOC,5000,0.0094076,0.0094684,FILLED,5000,5000,1739159732307,47.038000000000004
1000SHIB,SELL,LIMIT,IOC,5000,0.015587,0.015688,FILLED,5000,5000,1739159732307,77.935
LINK,SELL,LIMIT,IOC,5.00,18.195,18.287,FILLED,5.00,5.00,1739159732307,90.975
BTC,SELL,LIMIT,IOC,0.010,96252.88,96618.00,FILLED,0.010,0.010,1739159732307,962.5288
ETH,SELL,LIMIT,IOC,0.150,2611.92,2622.15,FILLED,0.150,0.150,1739159732307,391.788
TRUMP,SELL,LIMIT,IOC,58.60,15.029601,15.188818,FILLED,9.44,58.60,1739159732335,880.7346186
SUI,SELL,LIMIT,IOC,214.5,3.040875,3.071800,FILLED,214.5,214.5,1739159732366,652.2676875000001
BERA,SELL,LIMIT,IOC,61.4,4.927880,4.971000,FILLED,61.4,61.4,1739159732696,302.571832
WLD,SELL,LIMIT,IOC,281,1.2113701,1.2188000,FILLED,84,281,1739159732705,340.39499809999995
VINE,SELL,LIMIT,IOC,2455,0.0968812,0.0988700,FILLED,2375,2455,1739159732729,237.843346
RSR,SELL,LIMIT,IOC,1629,0.008495,0.008574,FILLED,1629,1629,1739159732968,13.838355000000002
XRP,SELL,LIMIT,IOC,62.3,2.3641,2.3747,FILLED,11.8,62.3,1739159738199,147.28343
SUI,SELL,LIMIT,IOC,269.3,3.039735,3.067300,FILLED,269.3,269.3,1739159740232,818.6006355
BTC,SELL,LIMIT,IOC,0.016,96239.20,96600.00,FILLED,0.016,0.016,1739159740554,1539.8272
1000PEPE,SELL,LIMIT,IOC,204992,0.0094004,0.0094492,FILLED,12044,204992,1739159741134,1927.0067967999998
DOGE,SELL,LIMIT,IOC,9335,0.245828,0.246760,FILLED,7544,9335,1739159741218,2294.80438
SOL,SELL,LIMIT,IOC,2,200.8424,201.7100,FILLED,2,2,1739159741264,401.6848
ENA,SELL,LIMIT,IOC,57720,0.4839409,0.4884194,FILLED,207,57720,1739159741439,27933.068748
1000PEPE,SELL,LIMIT,IOC,2066797,0.0093895,0.0094412,FILLED,54662,2066797,1739159742673,19406.1904315
XRP,SELL,LIMIT,IOC,117.3,2.3621,2.3725,FILLED,112.8,117.3,1739159743064,277.07433
DOT,SELL,LIMIT,IOC,2.0,4.736,4.761,FILLED,2.0,2.0,1739159743391,9.472
GALA,SELL,LIMIT,IOC,90857,0.02172,0.02182,FILLED,90857,90857,1739159743432,1973.4140399999999
ADA,SELL,LIMIT,IOC,5219,0.68091,0.68430,FILLED,3669,5219,1739159743482,3553.6692900000003
HBAR,SELL,LIMIT,IOC,3439,0.22857,0.23086,FILLED,1368,3439,1739159743489,786.05223
WLD,SELL,LIMIT,IOC,276,1.2100698,1.2177000,FILLED,276,276,1739159744368,333.9792648
TST,BUY,LIMIT,IOC,6475,0.1949634,0.1931000,FILLED,6475,6475,1739159746133,1262.388015
INJ,SELL,LIMIT,IOC,3.4,13.807266,13.944000,FILLED,3.4,3.4,1739159751099,46.9447044
1MBABYDOGE,SELL,LIMIT,IOC,20571,0.0015215,0.0015361,FILLED,20571,20571,1739159751099,31.298776500000002
DYM,SELL,LIMIT,IOC,207.7,0.535203,0.543100,FILLED,207.7,207.7,1739159751319,111.16166309999998
TST,BUY,LIMIT,IOC,615,0.1954797,0.1939000,FILLED,615,615,1739159756102,120.2200155
TST,BUY,LIMIT,IOC,227,0.1956184,0.1937000,FILLED,227,227,1739159758127,44.4053768
TAO,SELL,LIMIT,IOC,2.758,357.23,360.69,FILLED,0.238,2.758,1739159761611,985.2403400000001
TST,BUY,LIMIT,IOC,8474,0.1957757,0.1939850,FILLED,2378,8474,1739159766168,1659.0032818
TST,BUY,LIMIT,IOC,382,0.1959273,0.1943000,FILLED,382,382,1739159769068,74.8442286
TST,BUY,LIMIT,IOC,3365,0.1960878,0.1943000,FILLED,3365,3365,1739159770095,659.835447
TST,BUY,LIMIT,IOC,55,0.1962393,0.1944000,FILLED,55,55,1739159775299,10.7931615
BERA,BUY,LIMIT,IOC,57.0,5.028970,4.977000,FILLED,20.4,57.0,1739159775555,286.65129
VVV,SELL,LIMIT,IOC,15.00,7.050632,7.191926,FILLED,1.10,15.00,1739159775691,105.75948
TST,BUY,LIMIT,IOC,642,0.1962607,0.1944000,FILLED,642,642,1739159776616,125.9993694
ACT,SELL,LIMIT,IOC,3977,0.1790637,0.1808044,FILLED,2517,3977,1739159777687,712.1363349
WLD,SELL,LIMIT,IOC,3044,1.2044100,1.2111780,FILLED,856,3044,1739159779535,3666.22404
BERA,BUY,LIMIT,IOC,53.3,5.030270,4.983000,FILLED,53.3,53.3,1739159781556,268.113391
BERA,BUY,LIMIT,IOC,4.5,5.033781,4.984000,FILLED,4.5,4.5,1739159785248,22.6520145
BERA,BUY,LIMIT,IOC,502.0,5.034475,4.989929,FILLED,1.7,502.0,1739159794573,2527.3064499999996
TST,BUY,LIMIT,IOC,1500,0.1963173,0.1944000,FILLED,1427,1500,1739159802084,294.47595
BERA,BUY,LIMIT,IOC,106.6,5.039884,4.991961,FILLED,74.5,106.6,1739159802406,537.2516344
TST,SELL,LIMIT,IOC,615,0.1909225,0.1925000,FILLED,615,615,1739159833530,117.4173375
SUI,BUY,LIMIT,IOC,780.6,3.111096,3.081600,FILLED,92.0,780.6,1739159838449,2428.5215376
SUI,BUY,LIMIT,IOC,60.9,3.111845,3.081400,FILLED,60.9,60.9,1739159839543,189.5113605
BAN,SELL,LIMIT,IOC,810,0.0595622,0.0600000,FILLED,810,810,1739159855293,48.245382
BAN,SELL,LIMIT,IOC,756,0.0595059,0.0600000,FILLED,756,756,1739159901362,44.9864604
BAN,SELL,LIMIT,IOC,10801,0.0593466,0.0599000,FILLED,10801,10801,1739159907077,641.0026266
TST,SELL,LIMIT,IOC,11174,0.1903791,0.1919000,FILLED,3574,11174,1739159909424,2127.2960634
TST,SELL,LIMIT,IOC,75,0.1900324,0.1909000,FILLED,75,75,1739159915434,14.252429999999999
TST,SELL,LIMIT,IOC,20197,0.1891297,0.1893104,FILLED,4260,20197,1739159924075,3819.8525509
TST,SELL,LIMIT,IOC,2596,0.1881972,0.1898000,FILLED,281,2596,1739159925662,488.55993120000005
TST,SELL,LIMIT,IOC,485,0.1879231,0.1896000,FILLED,485,485,1739159946110,91.14270350000001
TST,BUY,LIMIT,IOC,315,0.1920332,0.1913000,FILLED,315,315,1739159963092,60.490458
TST,BUY,LIMIT,IOC,1955,0.1925739,0.1913000,FILLED,1955,1955,1739159964669,376.4819745
TST,BUY,LIMIT,IOC,6444,0.1933189,0.1914967,FILLED,1670,6444,1739159967427,1245.7469916
TST,BUY,LIMIT,IOC,7853,0.1937201,0.1920000,FILLED,7853,7853,1739159974431,1521.2839453000001
FARTCOIN,SELL,LIMIT,IOC,1136.8,0.5099895,0.5157000,FILLED,1136.8,1136.8,1739159974473,579.7560636
